mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,variable_label,porcentaje_missing
22013,CHACO,CHACABUCO,izq_der,90,28,0.3111111111111111,Left-right ideology,31.11111111111111
6025,BUENOS AIRES,MAGDALENA,izq_der,90,25,0.2777777777777778,Left-right ideology,27.77777777777778
42007,LA PAMPA,UTRACAN,izq_der,90,24,0.26666666666666666,Left-right ideology,26.666666666666668
14004,CORDOBA,SAN JUSTO,izq_der,90,22,0.24444444444444444,Left-right ideology,24.444444444444443
22002,CHACO,COMANDANTE FERNANDEZ,izq_der,108,25,0.23148148148148148,Left-right ideology,23.14814814814815
6051,BUENOS AIRES,BARADERO,izq_der,91,21,0.23076923076923078,Left-right ideology,23.076923076923077
22003,CHACO,LIBERTADOR GENERAL SAN MARTIN,izq_der,91,21,0.23076923076923078,Left-right ideology,23.076923076923077
6011,BUENOS AIRES,LUJAN,izq_der,180,41,0.22777777777777777,Left-right ideology,22.77777777777778
6031,BUENOS AIRES,CANUELAS,izq_der,90,20,0.2222222222222222,Left-right ideology,22.22222222222222
22004,CHACO,GENERAL GUEMES,izq_der,73,16,0.2191780821917808,Left-right ideology,21.91780821917808
90001,TUCUMAN,CAPITAL,izq_der,92,19,0.20652173913043478,Left-right ideology,20.652173913043477
6091,BUENOS AIRES,VICENTE LOPEZ,izq_der,90,18,0.2,Left-right ideology,20
30001,ENTRE RIOS,PARANA,izq_der,90,18,0.2,Left-right ideology,20
14001,CORDOBA,CAPITAL,izq_der,273,53,0.19413919413919414,Left-right ideology,19.413919413919416
82004,SANTA FE,CASTELLANOS,izq_der,181,35,0.19337016574585636,Left-right ideology,19.337016574585636
6069,BUENOS AIRES,MAR CHIQUITA,izq_der,90,17,0.18888888888888888,Left-right ideology,18.88888888888889
14005,CORDOBA,PUNILLA,izq_der,90,17,0.18888888888888888,Left-right ideology,18.88888888888889
18001,CORRIENTES,CAPITAL,izq_der,90,17,0.18888888888888888,Left-right ideology,18.88888888888889
90001,TUCUMAN,TAFI VIAJO,izq_der,181,33,0.18232044198895028,Left-right ideology,18.23204419889503
6010,BUENOS AIRES,PERGAMINO,izq_der,90,16,0.17777777777777778,Left-right ideology,17.77777777777778
42003,LA PAMPA,TOAY,izq_der,90,16,0.17777777777777778,Left-right ideology,17.77777777777778
62001,RIO NEGRO,GENERAL ROCA,izq_der,273,48,0.17582417582417584,Left-right ideology,17.582417582417584
6001,BUENOS AIRES,LA PLATA,izq_der,91,16,0.17582417582417584,Left-right ideology,17.582417582417584
6075,BUENOS AIRES,LOMAS DE ZAMORA,izq_der,91,16,0.17582417582417584,Left-right ideology,17.582417582417584
50015,MENDOZA,TUPUNGATO,izq_der,182,31,0.17032967032967034,Left-right ideology,17.032967032967033
6074,BUENOS AIRES,LA MATANZA,izq_der,453,77,0.16997792494481237,Left-right ideology,16.99779249448124
6015,BUENOS AIRES,BERISSO,izq_der,90,15,0.16666666666666666,Left-right ideology,16.666666666666664
22008,CHACO,LIBERTAD,izq_der,90,15,0.16666666666666666,Left-right ideology,16.666666666666664
82003,SANTA FE,GENERAL LOPEZ,izq_der,90,15,0.16666666666666666,Left-right ideology,16.666666666666664
6029,BUENOS AIRES,ENSENADA,izq_der,91,15,0.16483516483516483,Left-right ideology,16.483516483516482
66008,SALTA,ROSARIO DE LA FRONTERA,izq_der,91,15,0.16483516483516483,Left-right ideology,16.483516483516482
58001,NEUQUEN,CONFLUENCIA,izq_der,91,14,0.15384615384615385,Left-right ideology,15.384615384615385
42001,LA PAMPA,CAPITAL,izq_der,90,13,0.14444444444444443,Left-right ideology,14.444444444444443
6004,BUENOS AIRES,BAHIA BLANCA,izq_der,90,12,0.13333333333333333,Left-right ideology,13.333333333333334
6088,BUENOS AIRES,MORON,izq_der,90,12,0.13333333333333333,Left-right ideology,13.333333333333334
6086,BUENOS AIRES,SAN MIGUEL,izq_der,92,12,0.13043478260869565,Left-right ideology,13.043478260869565
6078,BUENOS AIRES,MERLO,izq_der,90,11,0.12222222222222222,Left-right ideology,12.222222222222221
6086,BUENOS AIRES,JOSE C. PAZ,izq_der,90,11,0.12222222222222222,Left-right ideology,12.222222222222221
66001,SALTA,CAPITAL,izq_der,90,11,0.12222222222222222,Left-right ideology,12.222222222222221
6080,BUENOS AIRES,MORENO,izq_der,91,11,0.12087912087912088,Left-right ideology,12.087912087912088
90002,TUCUMAN,CRUZ ALTA,izq_der,91,11,0.12087912087912088,Left-right ideology,12.087912087912088
6083,BUENOS AIRES,TIGRE,izq_der,252,30,0.11904761904761904,Left-right ideology,11.904761904761903
6002,BUENOS AIRES,GENERAL PUEYRREDON,izq_der,183,21,0.11475409836065574,Left-right ideology,11.475409836065573
82001,SANTA FE,ROSARIO,izq_der,364,41,0.11263736263736264,Left-right ideology,11.263736263736265
6076,BUENOS AIRES,QUILMES,izq_der,18,2,0.1111111111111111,Left-right ideology,11.11111111111111
22001,CHACO,SAN FERNANDO,izq_der,184,20,0.10869565217391304,Left-right ideology,10.869565217391305
50001,MENDOZA,GUAYMALLEN,izq_der,92,10,0.10869565217391304,Left-right ideology,10.869565217391305
6079,BUENOS AIRES,LANUS,izq_der,92,9,0.09782608695652174,Left-right ideology,9.782608695652174
90001,TUCUMAN,YERBA BUENA,izq_der,94,9,0.09574468085106383,Left-right ideology,9.574468085106384
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,izq_der,180,17,0.09444444444444444,Left-right ideology,9.444444444444445
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,izq_der,631,57,0.09033280507131537,Left-right ideology,9.033280507131538
