mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,porcentaje_missing,variable_label
82004,SANTA FE,CASTELLANOS,izq_der,181,35,0.19337016574585636,19.337016574585636,Left-right ideology
82004,SANTA FE,CASTELLANOS,voto_blanco_nulo,181,49,0.27071823204419887,27.071823204419886,Blank/null vote
86002,SANTIAGO DEL ESTERO,BANDA,intencion_migrar,18,0,0,0,Migration intention
86002,SANTIAGO DEL ESTERO,BANDA,izq_der,18,1,0.05555555555555555,5.555555555555555,Left-right ideology
86002,SANTIAGO DEL ESTERO,BANDA,voto_blanco_nulo,18,2,0.1111111111111111,11.11111111111111,Blank/null vote
86005,SANTIAGO DEL ESTERO,ROBLES,intencion_migrar,75,2,0.02666666666666667,2.666666666666667,Migration intention
86005,SANTIAGO DEL ESTERO,ROBLES,izq_der,75,5,0.06666666666666667,6.666666666666667,Left-right ideology
86005,SANTIAGO DEL ESTERO,ROBLES,voto_blanco_nulo,75,20,0.26666666666666666,26.666666666666668,Blank/null vote
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,intencion_migrar,180,1,0.005555555555555556,0.5555555555555556,Migration intention
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,izq_der,180,17,0.09444444444444444,9.444444444444445,Left-right ideology
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,voto_blanco_nulo,180,46,0.25555555555555554,25.555555555555554,Blank/null vote
90001,TUCUMAN,CAPITAL,intencion_migrar,92,1,0.010869565217391304,1.0869565217391304,Migration intention
90001,TUCUMAN,CAPITAL,izq_der,92,19,0.20652173913043478,20.652173913043477,Left-right ideology
90001,TUCUMAN,CAPITAL,voto_blanco_nulo,92,22,0.2391304347826087,23.91304347826087,Blank/null vote
90001,TUCUMAN,TAFI VIAJO,intencion_migrar,181,3,0.016574585635359115,1.6574585635359116,Migration intention
90001,TUCUMAN,TAFI VIAJO,izq_der,181,33,0.18232044198895028,18.23204419889503,Left-right ideology
90001,TUCUMAN,TAFI VIAJO,voto_blanco_nulo,181,28,0.15469613259668508,15.469613259668508,Blank/null vote
90001,TUCUMAN,YERBA BUENA,intencion_migrar,94,1,0.010638297872340425,1.0638297872340425,Migration intention
90001,TUCUMAN,YERBA BUENA,izq_der,94,9,0.09574468085106383,9.574468085106384,Left-right ideology
90001,TUCUMAN,YERBA BUENA,voto_blanco_nulo,94,9,0.09574468085106383,9.574468085106384,Blank/null vote
90002,TUCUMAN,CRUZ ALTA,intencion_migrar,91,2,0.02197802197802198,2.197802197802198,Migration intention
90002,TUCUMAN,CRUZ ALTA,izq_der,91,11,0.12087912087912088,12.087912087912088,Left-right ideology
90002,TUCUMAN,CRUZ ALTA,voto_blanco_nulo,91,12,0.13186813186813187,13.186813186813188,Blank/null vote
